Category,Forum Name,Title,Tags,Ravelry Link/Message,Catbox Link,Date Created
Designer A-F,aegyoknit,jeju sweater,,https://www.ravelry.com/patterns/library/jeju-sweater-2,[<Message id=1384058097856937994 channel=<Thread id=1384058097856937994 name='jeju sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:45
Designer A-F,aegyoknit,narae cropped sweater,,https://www.ravelry.com/patterns/library/narae-cropped-sweater,[<Message id=1384058103649140797 channel=<Thread id=1384058103649140797 name='narae cropped sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:46
Designer A-F,aegyoknit,jeol sweater,,https://www.ravelry.com/patterns/library/jeol-sweater,[<Message id=1384058099698241588 channel=<Thread id=1384058099698241588 name='jeol sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:45
Designer A-F,aegyoknit,Haraboji Cardigan,,https://www.ravelry.com/patterns/library/haraboji-cardigan,[<Message id=1384058071210393621 channel=<Thread id=1384058071210393621 name='Haraboji Cardigan' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:38
Designer A-F,aegyoknit,gerda sweater,,https://www.ravelry.com/patterns/library/gerda-sweater-2,[<Message id=1384058063807578212 channel=<Thread id=1384058063807578212 name='gerda sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:36
Designer A-F,aegyoknit,goreum bag,,https://www.ravelry.com/patterns/library/goreum-bag,[<Message id=1384058065929900174 channel=<Thread id=1384058065929900174 name='goreum bag' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:37
Designer A-F,aegyoknit,eurus sweater,,https://www.ravelry.com/patterns/library/eurus-sweater,[<Message id=1384058061899169943 channel=<Thread id=1384058061899169943 name='eurus sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:36
Designer A-F,aegyoknit,gujo sweater,,https://www.ravelry.com/patterns/library/gujo-sweater,[<Message id=1384058069322829915 channel=<Thread id=1384058069322829915 name='gujo sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:38
Designer A-F,aegyoknit,boreas sweater,,https://www.ravelry.com/patterns/library/boreas-sweater,[<Message id=1384058056194658377 channel=<Thread id=1384058056194658377 name='boreas sweater' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:35
Designer A-F,aegyoknit,bepeu blouse,,https://www.ravelry.com/patterns/library/bepeu-blouse,[<Message id=1384058054441439335 channel=<Thread id=1384058054441439335 name='bepeu blouse' parent=aegyoknit owner_id=1377907505593847888 locked=False archived=True> type=<MessageType.default: 0> author=<Member id=1377907505593847888 name='Lil-bot' global_name=None bot=True nick=None guild=<Guild id=1384052827642658869 name='Real One Risen' shard_id=0 chunked=False member_count=2>> flags=<MessageFlags value=0>>],2025-06-16 06:32:34
